id,name,category,created_by
1,Bench Press,upper body,
2,Dumbbell Fly,upper body,
3,Push-Up,upper body,
4,Pull-Up,upper body,
5,Chin-Up,upper body,
6,Lat Pulldown,upper body,
7,Bent-Over Row,upper body,
8,Seated Cable Row,upper body,
9,T-Bar Row,upper body,
10,Overhead Press,upper body,
11,Arnold Press,upper body,
12,Lateral Raise,upper body,
13,Front Raise,upper body,
14,Rear Delt Fly,upper body,
15,Bicep Curl,upper body,
16,Hammer Curl,upper body,
17,Tricep Pushdown,upper body,
18,Skull Crusher,upper body,
19,Back Squat,lower body,
20,Front Squat,lower body,
21,Goblet Squat,lower body,
22,Bulgarian Split Squat,lower body,
23,Walking Lunge,lower body,
24,Reverse Lunge,lower body,
25,Deadlift,lower body,
26,Romanian Deadlift,lower body,
27,Leg Press,lower body,
28,Leg Extension,lower body,
29,Leg Curl,lower body,
30,Hip Thrust,lower body,
31,Glute Bridge,lower body,
32,Cable Kickback,lower body,
33,Step-Up,lower body,
34,Calf Raise,lower body,
35,Hip Abduction,lower body,
36,Hip Adduction,lower body,
37,Good Morning,lower body,
38,Box Jump,lower body,
39,Sumo Squat,lower body,
40,Pistol Squat,lower body,
41,Wall Sit,lower body,
42,Donkey Kick,lower body,
43,Plank,core,
44,Side Plank,core,
45,Crunch,core,
46,Bicycle Crunch,core,
47,Russian Twist,core,
48,Leg Raise,core,
49,V-Up,core,
50,Mountain Climber,core,
51,Flutter Kick,core,
52,Dead Bug,core,
53,Ab Wheel Rollout,core,
54,Sit-Up,core,
55,Toe Touch,core,
56,Superman,core,
